Time,Open,High,Low,Volume,quote_av,trades,tb_base_av,tb_quote_av,Close,year,month,week,dayofweek,hour
2020-09-01 00:00:00,116.49,116.68,115.15,4223.966566,490458.5415137596,65078,1727.187461,200552.8035423099,116.12,2020,9,36,1,0
2020-09-01 01:00:00,116.12,116.39,115.85,1432.189715,166373.78184383176,30585,706.734361,82102.44795948098,116.29,2020,9,36,1,1
2020-09-01 02:00:00,116.29,116.44,116.06,1635.582094,190176.884935572,29205,796.206746,92581.71665298656,116.3,2020,9,36,1,2
2020-09-01 03:00:00,116.3,117.03,116.15,2217.36892,258546.630626234,37179,1164.963907,135838.3014401325,116.91,2020,9,36,1,3
2020-09-01 04:00:00,116.91,117.2,116.72,2350.949864,274924.7023868518,39534,1177.67348,137722.3714492719,116.93,2020,9,36,1,4
2020-09-01 05:00:00,116.93,117.96,116.87,2975.373472,349389.8466575096,47958,1680.262614,197311.1294262673,117.94,2020,9,36,1,5
2020-09-01 06:00:00,117.94,118.72,117.78,4776.975467,564953.0882964208,70551,2571.415904,304113.43055323703,118.62,2020,9,36,1,6
2020-09-01 07:00:00,118.62,119.4,118.62,5072.424302,603458.2433242926,74062,2581.852621,307161.81608002255,119.24,2020,9,36,1,7
2020-09-01 08:00:00,119.24,119.4,118.68,3841.291696,457545.12393431313,54215,1784.801699,212595.039761486,119.13,2020,9,36,1,8
2020-09-01 09:00:00,119.13,119.5,118.63,3251.007811,387399.00135559886,53182,1670.345535,199045.8487070212,119.39,2020,9,36,1,9
2020-09-01 10:00:00,119.39,119.47,119.06,2635.467221,314360.361570472,50386,1282.662899,152999.98296385497,119.2,2020,9,36,1,10
2020-09-01 11:00:00,119.2,119.23,118.34,4632.470453,550637.2994282935,102312,2221.561393,264068.3638203042,118.69,2020,9,36,1,11
2020-09-01 12:00:00,118.69,119.19,118.41,3342.121962,397116.6606678729,61298,1601.476999,190293.3361925568,119.0,2020,9,36,1,12
2020-09-01 13:00:00,119.0,119.1,118.53,2627.47998,312194.86596616934,52017,1204.289378,143095.82486552428,118.64,2020,9,36,1,13
2020-09-01 14:00:00,118.64,118.94,117.97,4140.432227,491162.2762022045,58010,1953.429502,231730.36009254903,118.94,2020,9,36,1,14
2020-09-01 15:00:00,118.94,120.45,118.91,6172.549916,738681.3784965182,85823,3420.723431,409367.47339462175,120.39,2020,9,36,1,15
2020-09-01 16:00:00,120.39,120.51,119.8,4552.873903,547107.8975561305,70049,1999.598804,240290.3441351419,119.96,2020,9,36,1,16
2020-09-01 17:00:00,119.96,120.16,119.47,3210.799983,384627.2439461943,50754,1231.679732,147548.72181157023,119.57,2020,9,36,1,17
2020-09-01 18:00:00,119.57,120.05,119.55,2130.970302,255190.1653425006,37871,1054.074454,126231.6425660409,119.83,2020,9,36,1,18
2020-09-01 19:00:00,119.83,119.9,119.53,1996.207868,238968.84056428203,45291,950.084346,113739.06450535452,119.57,2020,9,36,1,19
2020-09-01 20:00:00,119.57,120.15,119.39,2370.851556,284001.41095282504,48086,1165.149017,139574.8226278155,120.03,2020,9,36,1,20
2020-09-01 21:00:00,120.03,120.42,119.88,2263.630437,271919.2328499717,49750,964.81086,115901.61746760544,120.16,2020,9,36,1,21
2020-09-01 22:00:00,120.16,120.5,119.42,3022.157538,362517.572779826,56344,1276.797284,153159.42778228963,119.73,2020,9,36,1,22
2020-09-01 23:00:00,119.73,120.11,118.51,3393.050415,405111.8640198985,52072,1408.236955,168139.36590500062,119.22,2020,9,36,1,23
2020-09-02 00:00:00,119.22,119.54,118.75,3073.932555,366189.6582563194,58809,1391.665118,165788.73605499972,118.99,2020,9,36,2,0
2020-09-02 01:00:00,118.99,119.25,118.56,2643.872253,314415.8571313502,51049,1319.543537,156926.37396679065,118.88,2020,9,36,2,1
2020-09-02 02:00:00,118.88,119.09,118.53,2146.915329,254993.11199032463,42665,1008.085819,119735.3705004502,118.58,2020,9,36,2,2
2020-09-02 03:00:00,118.58,118.78,118.25,2464.042313,291969.349126078,41881,1133.921132,134363.80236367145,118.35,2020,9,36,2,3
2020-09-02 04:00:00,118.35,118.99,118.26,1939.472398,229996.25391672496,35859,1036.035958,122863.17950531644,118.73,2020,9,36,2,4
2020-09-02 05:00:00,118.73,119.0,118.57,2090.710254,248268.55415657832,33631,1050.935141,124799.84746198166,118.68,2020,9,36,2,5
2020-09-02 06:00:00,118.69,118.69,117.47,4594.270509,542984.6760853141,65354,2042.253153,241371.77898653573,117.91,2020,9,36,2,6
2020-09-02 07:00:00,117.91,118.03,117.18,3488.827666,410244.56114202586,51672,1658.775444,195055.3101477133,117.23,2020,9,36,2,7
2020-09-02 08:00:00,117.23,117.46,116.57,4200.523561,491860.2967586158,61238,1944.891524,227740.21213056767,117.11,2020,9,36,2,8
2020-09-02 09:00:00,117.11,117.48,117.0,2239.656879,262590.126734448,38063,1045.844557,122623.89607710272,117.38,2020,9,36,2,9
2020-09-02 10:00:00,117.38,117.43,115.2,5725.27911,666645.9310637126,84327,2468.476166,287430.2753212607,115.74,2020,9,36,2,10
2020-09-02 11:00:00,115.74,115.74,111.6,14115.024845,1613148.1334433644,189187,6093.410852,696394.1107625237,114.06,2020,9,36,2,11
2020-09-02 12:00:00,114.06,114.71,113.75,5521.973371,630613.8700670509,81942,2581.21955,294780.421879632,114.29,2020,9,36,2,12
2020-09-02 13:00:00,114.29,114.46,113.07,4804.303659,546735.143099273,77724,2402.801534,273444.35259472305,113.38,2020,9,36,2,13
2020-09-02 14:00:00,113.38,113.68,111.94,5406.2051,610161.9592956586,73056,2322.781941,262159.97215800785,112.45,2020,9,36,2,14
2020-09-02 15:00:00,112.45,113.52,112.32,3674.295168,414812.7943214125,63195,1806.648192,203966.0103225038,113.3,2020,9,36,2,15
2020-09-02 16:00:00,113.3,113.59,112.35,4464.556748,504767.6320131885,70122,2082.62218,235466.5399551198,113.01,2020,9,36,2,16
2020-09-02 17:00:00,113.01,113.58,112.83,2729.887876,309133.8446706376,46450,1272.57574,144110.12443416376,113.53,2020,9,36,2,17
2020-09-02 18:00:00,113.53,113.9,113.18,2538.582277,288455.17311126227,41645,1229.598486,139720.3011105721,113.89,2020,9,36,2,18
2020-09-02 19:00:00,113.89,114.0,113.19,2190.704803,249180.5859270064,36186,956.659422,108817.93494533507,113.89,2020,9,36,2,19
2020-09-02 20:00:00,113.89,113.89,113.02,1912.366049,217224.24170250705,33810,883.327518,100339.573598804,113.54,2020,9,36,2,20
2020-09-02 21:00:00,113.54,113.74,113.38,1300.693653,147760.2692336707,28149,620.680605,70512.98748881374,113.73,2020,9,36,2,21
2020-09-02 22:00:00,113.73,114.39,113.63,2244.849509,255914.18836892143,35802,967.30482,110276.57224939774,114.25,2020,9,36,2,22
2020-09-02 23:00:00,114.25,114.27,113.76,1830.899717,208807.01550674887,31828,772.251498,88075.58654824283,113.88,2020,9,36,2,23
2020-09-03 00:00:00,113.88,114.46,113.57,2147.35654,244815.7475801932,34323,961.685998,109643.00995809089,114.1,2020,9,36,3,0
2020-09-03 01:00:00,114.1,114.29,113.75,1826.127525,208353.35786808585,32503,796.726726,90906.33493915365,114.23,2020,9,36,3,1
2020-09-03 02:00:00,114.23,114.37,113.91,1895.793336,216482.81063072025,32061,873.950505,99800.48542980308,114.25,2020,9,36,3,2
2020-09-03 03:00:00,114.25,114.38,113.31,2648.360662,301549.8552267614,46399,1142.431054,130083.67641728176,113.5,2020,9,36,3,3
2020-09-03 04:00:00,113.5,113.79,112.65,3457.670282,391342.5963459005,48473,1879.801854,212760.4445700225,112.78,2020,9,36,3,4
2020-09-03 05:00:00,112.78,113.39,112.57,2710.285139,305944.7878425797,52267,1317.57487,148734.54382875323,112.79,2020,9,36,3,5
2020-09-03 06:00:00,112.79,113.19,112.43,2948.604317,332608.1975144648,45206,1278.76298,144250.09972917443,112.79,2020,9,36,3,6
2020-09-03 07:00:00,112.79,114.22,112.37,3681.263495,417266.6372161423,57571,1643.380847,186278.31147806792,114.01,2020,9,36,3,7
2020-09-03 08:00:00,114.0,114.62,113.48,3020.626017,344342.3698917218,44022,1435.39342,163633.5659312563,113.87,2020,9,36,3,8
2020-09-03 09:00:00,113.87,114.0,113.4,1931.132476,219523.04095609195,35261,919.587099,104537.78163508578,113.42,2020,9,36,3,9
2020-09-03 10:00:00,113.42,113.51,112.18,3845.125547,434211.3368884513,67735,1822.410429,205798.9208783264,112.58,2020,9,36,3,10
2020-09-03 11:00:00,112.58,112.99,111.81,4844.808058,544396.9630602828,75898,2183.148656,245317.1387809298,112.08,2020,9,36,3,11
2020-09-03 12:00:00,112.08,112.5,106.45,20971.578593,2302761.930639323,192772,8493.715146,932646.6436506464,108.19,2020,9,36,3,12
2020-09-03 13:00:00,108.19,109.25,107.91,6853.668242,744505.6272652168,81360,3542.719646,384843.9405620217,109.17,2020,9,36,3,13
2020-09-03 14:00:00,109.17,109.24,108.2,4253.157472,462624.4056687111,58427,2029.121304,220714.4075344212,108.48,2020,9,36,3,14
2020-09-03 15:00:00,108.48,108.48,104.6,12539.975088,1342587.4945084606,128297,5454.226123,583957.5965083381,106.7,2020,9,36,3,15
2020-09-03 16:00:00,106.7,107.38,105.5,6697.838142,711990.9475226819,72248,2896.351419,307889.8221318406,105.63,2020,9,36,3,16
2020-09-03 17:00:00,105.61,107.69,105.57,5497.718981,585265.6035040646,68462,2831.28654,301410.24352127715,106.94,2020,9,36,3,17
2020-09-03 18:00:00,106.94,107.4,106.3,3770.994697,402690.09160590544,56100,1592.227559,170030.9719061497,106.5,2020,9,36,3,18
2020-09-03 19:00:00,106.5,107.08,106.01,3276.591128,349300.7040587141,49484,1380.882185,147211.90530920858,106.83,2020,9,36,3,19
2020-09-03 20:00:00,106.83,107.89,106.75,2990.56177,320896.0127381657,44412,1379.978554,148078.6185695141,107.74,2020,9,36,3,20
2020-09-03 21:00:00,107.74,107.95,106.85,2154.096205,231448.4160493544,45923,980.93997,105400.72607864854,107.24,2020,9,36,3,21
2020-09-03 22:00:00,107.24,107.51,106.43,2356.923415,252073.42846659772,42027,1089.590113,116534.75455129288,106.61,2020,9,36,3,22
2020-09-03 23:00:00,106.61,106.71,99.61,15749.848888,1631447.9860817655,200499,6460.939863,669259.4644722593,101.41,2020,9,36,3,23
2020-09-04 00:00:00,101.38,103.51,100.68,6606.752594,674824.2907148594,117394,3136.198779,320339.0484140735,102.99,2020,9,36,4,0
2020-09-04 01:00:00,102.99,103.16,102.26,3247.148967,333666.1645641557,55631,1488.493276,152955.371640191,102.61,2020,9,36,4,1
2020-09-04 02:00:00,102.61,102.82,101.65,3606.326334,369376.6969116712,60973,1576.148713,161439.35610816386,102.61,2020,9,36,4,2
2020-09-04 03:00:00,102.61,102.88,102.39,2390.51972,245353.37031957184,36358,959.246103,98456.2505338667,102.65,2020,9,36,4,3
2020-09-04 04:00:00,102.65,103.32,102.26,3085.294024,317102.3165299062,44078,1371.828645,140997.53287249137,102.87,2020,9,36,4,4
2020-09-04 05:00:00,102.87,103.0,102.35,2018.81469,207463.9806409986,33942,883.684088,90814.89812047638,102.83,2020,9,36,4,5
2020-09-04 06:00:00,102.83,103.0,102.26,2270.664241,232948.54092685864,34840,985.71202,101127.57451148078,102.26,2020,9,36,4,6
2020-09-04 07:00:00,102.26,103.39,100.93,4681.913977,479358.4387881938,70351,2338.444613,239424.55155771732,102.95,2020,9,36,4,7
2020-09-04 08:00:00,102.95,104.5,102.92,4832.083187,500842.3341509759,67382,2241.227931,232304.6210978583,104.22,2020,9,36,4,8
2020-09-04 09:00:00,104.22,105.29,103.87,4091.786771,428174.007972632,54937,2070.910936,216707.4819672812,105.18,2020,9,36,4,9
2020-09-04 10:00:00,105.18,105.26,104.57,4136.508064,433954.83081533416,66128,1841.600888,193202.485243584,104.62,2020,9,36,4,10
2020-09-04 11:00:00,104.62,104.73,103.55,3743.545839,390383.0427847418,61235,1721.316048,179504.45064328774,104.22,2020,9,36,4,11
2020-09-04 12:00:00,104.22,104.73,103.78,3156.66332,329385.8509902152,44951,1499.408431,156460.32451713426,104.64,2020,9,36,4,12
2020-09-04 13:00:00,104.64,104.98,103.7,3643.956616,379930.8975350631,60668,1651.028512,172144.51180515764,103.73,2020,9,36,4,13
2020-09-04 14:00:00,103.73,104.11,98.75,10176.501392,1044261.7205448506,142132,4762.245887,488680.60528184666,103.87,2020,9,36,4,14
2020-09-04 15:00:00,103.78,104.45,101.57,7536.760772,780156.3091522459,97962,3632.010451,375964.709711972,104.25,2020,9,36,4,15
2020-09-04 16:00:00,104.25,104.8,103.03,5464.831233,568928.2035068052,80447,2555.202969,266017.7628134829,104.35,2020,9,36,4,16
